"","barcodes","treatment","timepoint","aifi_cell_type","UMAP_1","UMAP_2","cell_type_color","treatment_color"
"9399","f9505e9cff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_em",-0.524813380860456,3.81156498477925,"#1C75BC","#59C1BD"
"9400","321cfcd2fb8311ed9fae72654f839162","lenalidomide",24,"t_cd4_cm",0.283616337157122,1.76636272953022,"#00AEEF","#59C1BD"
"9401","cdac9a1efb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_naive",-0.310522285126813,-2.35334151699077,"#93A7D1","#59C1BD"
"9402","79f9c1f0fb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_cm",0.334164413786761,2.63525063083638,"#00AEEF","#59C1BD"
"9403","37126ab2fb8111eda35df29f570c0793","lenalidomide",24,"t_cd4_cm",-0.495484080933698,3.43093830631245,"#00AEEF","#59C1BD"
"9404","4a26e9acfb8111eda35df29f570c0793","lenalidomide",24,"t_cd8_naive",-6.87198945584215,0.73522216365803,"#8DC63F","#59C1BD"
"9405","893f5732fb8111ed99031af2246d8fa2","lenalidomide",24,"t_cd4_treg",4.29997614321791,-0.27607196285259,"#E57A93","#59C1BD"
"9406","791833d4fb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_em",-0.223258939408429,3.94726997898091,"#1C75BC","#59C1BD"
"9407","b97290b6fb7e11ed84ffaefa3cccb57a","lenalidomide",24,"t_cd4_cm",-0.674755302094587,3.01099211261738,"#00AEEF","#59C1BD"
"9408","43557432fb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd4_naive",-0.639853683137067,-4.64722698642742,"#93A7D1","#59C1BD"
