gene,x_lfc,x_fdr,x_dir,y_lfc,y_fdr,y_dir,color
SLC40A1,-0.00206645433307433,0.482929744457994,no,0.0248611962805421,0.35800972246785,no,gray80
SLC44A1,-0.00677728522045376,0.964325533520489,no,0.163807124290521,4.94198216824266e-09,up,orange
SLC44A2,-0.00523548618457098,0.976233210645906,no,-0.0181992124334907,0.798916102733767,no,gray80
SLC44A5,-0.00485126541392249,0.968642352068165,no,0.0859041458849401,9.31860532942382e-06,up,orange
SLC45A4,0.0141733887022162,0.734227389722879,no,0.021084834791288,0.434996612571366,no,gray80
SLC46A3,-0.0219711774302754,0.592740208874322,no,-0.00577505557097197,0.819092087092228,no,gray80
SLC49A4,-0.0404213805765588,0.681938851202369,no,-0.310680976166717,6.88785844946214e-20,dn,skyblue
SLC4A1AP,-0.0183046269625107,0.606356857310481,no,0.00332306411874358,0.713669447640792,no,gray80
SLC4A5,0.00878390324581271,0.805403550963393,no,-0.0138612104914598,0.820400382115445,no,gray80
SLC4A7,-0.0271000311976397,0.574687506409238,no,-0.0416094044674753,0.684668733644794,no,gray80
SLC50A1,0.0225343015754075,0.467957777375565,no,-0.0491672378717574,0.0222554999819855,dn,skyblue
SLC5A3,-0.0456767603371308,0.184277948256865,no,-0.0862109990726098,0.00541351009191445,dn,skyblue
SLC66A2,0.00540579639472186,0.949886288689003,no,-0.0098984550814242,0.893922581148971,no,gray80
SLC66A3,0.00393357223466738,0.828028564893628,no,0.0138438963104128,0.477902452715653,no,gray80
SLC6A6,0.0142171343600427,0.763608777339047,no,-0.0194073415632446,0.679816521945576,no,gray80
SLC7A1,-0.0313914793507888,0.609900231822481,no,-0.0966160220288791,0.000586597527088024,dn,skyblue
SLC7A5,-0.0186448029585903,0.352885349523131,no,-0.0435278572933793,0.0273217261803428,dn,skyblue
SLC7A6,-0.0240662803709578,0.738573983003163,no,0.127593226941827,0.000600649297031218,up,orange
SLC7A6OS,-0.0104211438572399,0.864981556221051,no,0.0265135043111847,0.665751561982765,no,gray80
SLC8B1,0.0774637269780558,0.00874699099328807,up,0.044599968592138,0.384518736469295,no,orange
SLC9A3R1,-0.00188492691161422,0.796867580219208,no,-0.0545285860146361,0.00921837005332046,dn,skyblue
SLC9A6,-0.000486186286732415,0.551290535359276,no,-0.0397882396893173,0.0956211320468338,no,gray80
SLC9A8,-0.0345310655140164,0.370354824033525,no,-0.0329239658243311,0.518901434315832,no,gray80
SLC9A9,-0.142577010238389,1.36051257913366e-07,dn,-0.094998855810688,0.0158184699682894,dn,darkblue
SLC9B1,-0.014404006020928,0.224423882004893,no,0.0263573591687691,0.263226497908094,no,gray80
SLC9B2,-0.00674488741248744,0.943758438295079,no,-0.013229091771676,0.687550814753932,no,gray80
SLCO3A1,0.041215605195671,0.643837723359236,no,-0.383029119548765,7.75104822588244e-33,dn,skyblue
SLF1,0.0120529063465705,0.877938862975301,no,0.0111973942051838,0.7900689765633,no,gray80
SLF2,0.063414127352399,0.18692734492423,no,-0.0803484509113702,0.0962749168998129,no,gray80
