aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,complex,y_offset,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_em,24,bortezomib,dmso,180,PSME1,0.0210806172482532,-0.324583166449806,-0.0844380421231947,0.381845631349079,0.844235234537389,-1,dn,PA28 11S,3,23,26,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSME2,-0.0349422508391972,-0.611430524524576,-0.12331775399531,0.0845270406036669,0.517299923831605,-1,dn,PA28 11S,3,22,25,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSME3,-0.00400107354813039,0.347512411348003,0.0301637737108002,0.701580686182094,0.93973981173948,1,up,PA28 11S,3,21,24,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSME4,0.234448062662804,0.708969891716368,0.402341857521866,4.74593093445601e-06,0.000531736667264524,1,up,PA200,2,20,22,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMF1,0.0184471542758249,0.0038385480787129,0.00589573311910213,0.966435199815305,0.996261499018812,1,up,RP-associated,0,4,4,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMG2,-0.0207429367448777,-0.315846906859336,-0.0581704476863468,0.553322365265,0.90475257057205,-1,dn,CP-associated,1,18,19,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMG3,0.0910560421983443,-0.105661308300267,-0.00253751022881764,0.769393019520909,0.95124406436138,-1,dn,CP-associated,1,17,18,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMG4,-0.0337476385801957,-0.282182860699746,-0.041845448020967,0.629154389081599,0.922368916819539,-1,dn,CP-associated,1,16,17,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,RAD23A,0.00648355694008005,0.519787107657497,0.139830502002273,0.10673204051437,0.565441116871973,1,up,RP-associated,0,14,14,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,RAD23B,0.111815918171065,1.13629123048868,0.424076291996809,2.30948201667313e-06,0.000277506020293288,1,up,RP-associated,0,13,13,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,UBE3C,0.0724694421363381,0.199525181674009,0.114081915935157,0.345392023366424,0.825795903789867,1,up,RP-associated,0,7,7,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,UBQLN1,0.25786195450823,0.793043791568318,0.451635319891866,1.16589261011978e-06,0.000163837553059374,1,up,RP-associated,0,12,12,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,UBQLN2,-0.0170772160394122,-0.423455881735512,-0.0987189453354945,0.269783286541702,0.777278156954012,-1,dn,RP-associated,0,11,11,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,UCHL5,-0.0929830847689442,-0.0991087706651825,-0.0425603900254152,0.296657240505002,0.794696342819701,-1,dn,RP-associated,0,8,8,Bor/DMSO,CD4 EM,#1C75BC,3,5
